Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sierra Leone,SLE,0.308532056,0.123149786,0.136623926,0.152611794,0.123389578,0.112573503,0.11784629,0.097436273,0.145624844,0.411173751,0.31795288,0.28694255,0.237627116,0.185027583,0.175082647,0.172655387,0.145375544,0.161923578,0.219510442,0.204736436,0.179643765,0.200069802,0.15640972,0.190448933,0.166164353,0.174421223,0.172270172,0.123500301,0.110275526,0.087916071,0.112902285,0.125643991,0.103741866,0.105038696,0.12337419,0.098832772,0.117339483,0.110805916,0.102105611,0.089571749,0.092783381,0.119557508,0.122583706,0.125498407,0.118094601,0.096779913,0.125814065,0.107139285,0.108211601,0.104057657,0.113171356,0.136885898,0.153506825,0.1736274,0.186560088,0.148788315,0.149104947
Madagascar,MDG,0.078382774,0.068095026,0.073990804,0.084217123,0.086049758,0.096613441,0.09789249,0.138866616,0.146457314,0.132888863,0.147766109,0.151935897,0.185286801,0.150425187,0.16174021,0.224212304,0.127839907,0.105908931,0.123863791,0.133783575,0.185525976,0.114448837,0.110000521,0.068677052,0.088854961,0.104943263,0.110164585,0.120881549,0.11785404,0.082655628,0.080620277,0.085051863,0.080188282,0.07984657,0.09569838,0.095788177,0.096800633,0.113476761,0.115887651,0.119253819,0.118846962,0.107117169,0.073711326,0.098470636,0.101546442,0.094991068,0.089148783,0.093403772,0.094441905,0.08610778,0.09257807,0.110462134,0.123892669,0.138143811,0.139903171,0.150407888,0.156876974
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13161632,0.139880248,0.145569875,0.181371037,0.159441965
Guinea-Bissau,GNB,0.02975804,0.047106354,0.064140707,0.07507114,0.091416178,0.101580511,0.100161762,0.071231866,0.091616796,0.084736289,0.098835502,0.102093089,0.090107751,0.147432298,0.135514746,0.148405525,0.123753117,0.133045325,0.132975541,0.14199859,0.187647839,0.180161148,0.176471024,0.172261858,0.189536649,0.197610997,0.20542911,0.212928127,0.23187842,0.242213695,0.176720898,0.176453251,0.176099378,0.175719722,0.171942315,0.168388048,0.165056314,0.178086728,0.149301221,0.165105668,0.122100956,0.122521608,0.122773831,0.151445681,0.153548708,0.158139085,0.157052834,0.163665577,0.15712789,0.158153972,0.156544829,0.157191765,0.157648792,0.155734209,0.160335469,0.160425788,0.164583657
Mali,MLI,0.022989578,0.022047752,0.025894159,0.032346291,0.031981092,0.035560486,0.033834061,0.039200701,0.034254221,0.027527156,0.03390208,0.037613181,0.03996595,0.042788203,0.047792771,0.052609746,0.051696993,0.061733391,0.057975563,0.061675418,0.055340201,0.054740966,0.049630055,0.055404745,0.056709711,0.051971753,0.047953536,0.044574081,0.047119129,0.050384751,0.0503404,0.050532295,0.050963161,0.050845499,0.050281953,0.049349064,0.050321873,0.052674422,0.074327056,0.075455964,0.076043775,0.074500781,0.073864711,0.071609767,0.072041067,0.071758354,0.081930927,0.095090021,0.110423814,0.122472839,0.131335414,0.139214949,0.143884924,0.164068955,0.176050093,0.18168062,0.176967052
Burkina Faso,BFA,0.009111902,0.018729901,0.017003116,0.017504203,0.021575284,0.019841271,0.019533659,0.019216851,0.018894962,0.021889868,0.025426341,0.026268913,0.027698405,0.028443214,0.033998445,0.03574919,0.033314914,0.03896836,0.053341702,0.06100989,0.06342019,0.079795452,0.080427283,0.08092381,0.061836945,0.061686819,0.060571874,0.063518718,0.066263378,0.095737173,0.066173051,0.069287423,0.067840845,0.0656434,0.065745043,0.062147134,0.068229866,0.075639822,0.078563833,0.08255275,0.089716851,0.083504269,0.081733493,0.085194017,0.084705971,0.083875344,0.098375854,0.111924126,0.121819571,0.125211461,0.134881687,0.136812099,0.162867174,0.171614339,0.168273976,0.183849877,0.183287285
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.320676334,0.361006741,0.39400236,0.352471029,0.267575434,0.276982933,0.26553732,0.265599089,0.243869752,0.274922116,0.283134477,0.271133872,0.188489157,0.188456938,0.132897934,0.161023039,0.158457436,0.180271017,0.198576105,0.198913895,0.214829822,0.207328966,0.210687333
Tanzania,TZA,0.082444237,0.068047223,0.071949468,0.073218337,0.091547734,0.099910252,0.114427005,0.14254398,0.129960641,0.136947452,0.130582282,0.176372588,0.150204181,0.213834838,0.149883202,0.143815428,0.17025991,0.119086514,0.126421025,0.115255308,0.10167287,0.11104171,0.109879918,0.10904814,0.112901882,0.108990627,0.103120717,0.104081807,0.09666793,0.090429203,0.085695774,0.088379778,0.082558241,0.088758453,0.072721955,0.083978605,0.085277596,0.092401347,0.080061499,0.077643518,0.07914346,0.09096621,0.101599393,0.104748991,0.116740428,0.143150096,0.152433674,0.144944224,0.146753792,0.137404486,0.160252602,0.177194603,0.202862863,0.230538234,0.231426985,0.251220815,0.225684764
Afghanistan,AFG,0.046056713,0.053588835,0.073720831,0.074160725,0.086173614,0.101284912,0.107398881,0.123409532,0.115142498,0.086509857,0.149651474,0.165208321,0.129995594,0.135366588,0.154503241,0.167612356,0.153557886,0.181522166,0.161894232,0.167066411,0.131782918,0.150614656,0.163103934,0.201224305,0.231961346,0.293956932,0.267771904,0.269229596,0.246823271,0.233882195,0.210643419,0.183363552,0.096196581,0.085087108,0.075806494,0.068639862,0.062434611,0.056642345,0.052763218,0.04072254,0.037234781,0.037846136,0.047377324,0.051255589,0.037075331,0.051743965,0.062427532,0.083892806,0.151720912,0.238398541,0.28998763,0.406424217,0.345148783,0.280454641,0.253727945,0.262555711,0.245101422
"Gambia, The",GMB,0.050226409,0.059074494,0.067568848,0.075678269,0.07407875,0.072388275,0.079433809,0.07735761,0.083606359,0.105647256,0.102648522,0.115045303,0.134042475,0.122851929,0.119137852,0.183357131,0.177497513,0.197096871,0.233591937,0.23782038,0.247441333,0.2397902,0.237936745,0.230431634,0.237495418,0.228039117,0.203941872,0.216219046,0.209916148,0.196238676,0.207220019,0.199479587,0.192722937,0.197027512,0.191022398,0.191704583,0.189005842,0.186324161,0.195474609,0.215345622,0.208715469,0.2210865,0.21412971,0.207385899,0.215629922,0.211410463,0.221202743,0.214673555,0.217074088,0.219141873,0.241304353,0.242066243,0.238690485,0.220351162,0.253640982,0.251397985,0.247408381
Comoros,COM,0.057560394,0.056665585,0.05578657,0.054902881,0.053991843,0.070715057,0.086699326,0.084924756,0.083123654,0.081371352,0.127517887,0.12502344,0.122624198,0.120127105,0.117295205,0.1282716,0.151669656,0.146201522,0.102346546,0.07396948,0.154861953,0.150094772,0.145806953,0.141837451,0.137990425,0.134157152,0.120308399,0.126564433,0.132327052,0.128463186,0.151457504,0.155721539,0.151234511,0.155079083,0.150716994,0.154272035,0.157598741,0.160720227,0.170761664,0.173348486,0.189314418,0.184706272,0.180298132,0.226353755,0.239461311,0.227828399,0.257569541,0.160026184,0.161805094,0.196081111,0.233942107,0.192025124,0.19756697,0.237376687,0.202812784,0.21697555,0.253503052
Guinea,GIN,0.117540057,0.173436015,0.182769757,0.18971256,0.187476646,0.183267771,0.185709122,0.184231473,0.186408609,0.183143515,0.190649171,0.192769161,0.194010582,0.184302778,0.189814038,0.187789674,0.194640688,0.194881393,0.191835362,0.197822685,0.197974724,0.199229635,0.193567092,0.183510748,0.183819463,0.181650728,0.177180661,0.171298251,0.171627648,0.169452653,0.158172739,0.157118529,0.157795861,0.15790529,0.176588973,0.17755854,0.182765788,0.18521471,0.191262166,0.196216937,0.199353213,0.204325347,0.21012677,0.214915002,0.217742097,0.20046652,0.203297045,0.206886477,0.224791637,0.227060669,0.255447904,0.266742837,0.242354579,0.211075838,0.213752571,0.236402921,0.255224608
Low income,LIC,0.275488178,0.293447143,0.317250619,0.330600129,0.352612451,0.408402765,0.434625134,0.45856735,0.518500957,0.559865735,0.603146332,0.806192092,0.677006079,0.707351667,0.726222776,0.740540184,0.74106231,0.751028008,0.710137851,0.748255707,0.743103241,0.747913194,0.727684564,0.770101185,0.810781736,0.821264206,0.857034526,0.929367881,1.010285977,1.018393902,0.680344978,0.67468136,0.604389493,0.555334986,0.507607385,0.472759874,0.441245555,0.422080571,0.40640601,0.421481242,0.42293308,0.420766608,0.382055266,0.42302963,0.419935286,0.417076099,0.424009511,0.424241008,0.441204031,0.398926678,0.386454616,0.348702346,0.318067174,0.297719018,0.304233225,0.272805408,0.271829641
Solomon Islands,SLB,0.093348268,0.120845623,0.117306462,0.113848399,0.138107398,0.187616945,0.182061266,0.227110386,0.244660764,0.236840406,0.251712949,0.286894717,0.318773471,0.368121357,0.354309026,0.303368114,0.310764261,0.388060994,0.289551546,0.49367259,0.445360145,0.5690541,0.49102241,0.56180689,0.544423592,0.55522032,0.552344201,0.562442918,0.534562603,0.532024058,0.470330206,0.457260428,0.433379294,0.421240987,0.398950988,0.398053334,0.387020564,0.37635099,0.366049558,0.383514366,0.373222508,0.371938275,0.362125429,0.360943767,0.351874104,0.343353521,0.343010905,0.365111393,0.356967181,0.348776449,0.354292134,0.338583361,0.329728233,0.340169953,0.33104744,0.316163669,0.272315022
Haiti,HTI,0.073981955,0.075350385,0.07572727,0.060851857,0.071977053,0.071467517,0.070107972,0.058833711,0.058544334,0.068651442,0.082338764,0.084791795,0.081112688,0.085736359,0.094538452,0.095011617,0.129964528,0.133669864,0.139785223,0.136843553,0.133211404,0.132748036,0.139601237,0.147852592,0.147397762,0.148710494,0.130185176,0.137954119,0.151384913,0.150449095,0.143284583,0.138433125,0.123243782,0.092895308,0.024117638,0.113165816,0.12924898,0.168036613,0.150722964,0.157804665,0.158571924,0.182310256,0.208605747,0.194884352,0.219685761,0.225715823,0.226028956,0.251795831,0.248608108,0.231665885,0.21376934,0.207306006,0.214634184,0.22176863,0.266273568,0.2742825,0.274687476
Heavily indebted poor countries (HIPC),HPC,0.121859574,0.125394074,0.122647573,0.126591111,0.134355736,0.153087005,0.155699326,0.165374569,0.180191398,0.196502754,0.207514526,0.217079018,0.216732151,0.226431286,0.225206405,0.218905422,0.207615588,0.209383525,0.212221887,0.209993697,0.221197609,0.211629068,0.210847415,0.206852338,0.19534443,0.20264859,0.17438615,0.188420588,0.198583841,0.204385344,0.167711989,0.157875928,0.156861108,0.157935443,0.157977756,0.166883385,0.171084229,0.176046903,0.16704819,0.162377568,0.164325917,0.16561919,0.172162841,0.177866206,0.186679224,0.186151301,0.196311494,0.203428546,0.20628298,0.207771206,0.225934722,0.239315362,0.248882892,0.254146983,0.270339835,0.277641324,0.276852353
Mozambique,MOZ,0.262334358,0.358603404,0.264744077,0.216310969,0.272559457,0.249508068,0.25855585,0.222606716,0.322665634,0.367695899,0.330823859,0.391616713,0.349377107,0.368647269,0.317953379,0.283902406,0.245076361,0.252695596,0.260381748,0.233119944,0.275887487,0.209004836,0.208471509,0.158886721,0.121593771,0.08991979,0.076726514,0.076859782,0.079329939,0.081323785,0.078776469,0.076762496,0.072776903,0.075019278,0.07114173,0.071998153,0.069386174,0.072681692,0.067390653,0.06889904,0.076189113,0.086735085,0.084619371,0.099210133,0.096507018,0.088928744,0.093935942,0.10439284,0.101730354,0.110515923,0.116251552,0.133262831,0.125514265,0.164407778,0.320857023,0.239883238,0.285402032
Liberia,LBR,0.147511704,0.141248111,0.216880327,0.298454777,0.397441171,0.447661316,0.480884422,0.469971259,0.662489936,0.931172439,1.03669658,1.061760739,1.02208784,0.978276057,1.10743499,0.92794723,0.89790295,0.871165506,0.86571594,1.085232922,1.102276253,1.010953052,0.302283558,0.345804328,0.331679035,0.336664408,0.338085246,0.355917571,0.383178928,0.316836393,0.227872376,0.181540081,0.194193315,0.215193107,0.212286175,0.208040355,0.20197984,0.195472276,0.192273149,0.145337355,0.1506216,0.153933391,0.145480802,0.152540511,0.177757027,0.208526044,0.20707489,0.186426514,0.151442406,0.128936295,0.197892457,0.214500865,0.236743165,0.211474663,0.280944282,0.277142723,0.302199709
Zambia,ZMB,,,,,0.946605941,1.096875924,0.951121076,1.261961366,1.16685337,1.056845472,0.902037704,0.877860931,0.910556329,0.993838788,0.879394165,0.825639762,0.787503499,0.708080002,0.63572594,0.637300639,0.603456358,0.555921145,0.561825153,0.504629187,0.420787312,0.39778387,0.404310695,0.366558897,0.413596375,0.332928612,0.304334475,0.293034292,0.290709871,0.288904066,0.272862564,0.238645464,0.200238058,0.249112461,0.234519093,0.178277218,0.174972043,0.178339467,0.180814948,0.187637934,0.185720846,0.192995979,0.188267332,0.154270853,0.168958161,0.189799593,0.197823105,0.208411807,0.254266867,0.265078347,0.292412222,0.285427858,0.314182895
