Country,pop_est,gdp_md_est,Longitude,Latitude
Mali,12666987,14590,-3.54269065,17.34581581
Malta,405165,9962,14.40523316,35.92149632
Marshall Islands,64522,133.5,170.3397612,7.00376358
Mauritania,3129486,6308,-10.34779815,20.25736706
Mauritius,1284264,15270,57.57120551,-20.27768704
Mexico,111211789,1563000,-102.5234517,23.94753724
Moldova,4320748,10670,28.45673372,47.19498804
Monaco,32965,976.3,7.40627677,43.75274627
Mongolia,3041142,9476,103.0529977,46.82681544
Montenegro,672180,6816,19.23883939,42.78890259
Morocco,34859364,136600,-8.45615795,29.83762955
Mozambique,21669278,18940,35.53367543,-17.27381643
Myanmar,48137741,55130,96.48843321,21.18566599
Namibia,2108665,13250,17.20963567,-22.13032568
Nauru,14019,60,166.9325682,-0.51912639
Nepal,28563377,31080,83.9158264,28.24891365
Aruba,103065,2258,-69.98267711,12.52088038
Cura̤ao,141766,2838,-68.97119369,12.19551675
Netherlands,16715999,672000,5.28144793,52.1007899
Sint Maarten,37429,400,-63.05713363,18.05081728
Cook Islands,11870,183.2,-159.7872422,-21.21927288
Niue,1398,10.01,-169.8699468,-19.04945708
New Zealand,4213418,116700,171.4849235,-41.81113557
Nicaragua,5891199,16790,-85.0305297,12.84709429
Niger,15306252,10040,9.38545882,17.41912493
Nigeria,149229090,335400,8.08943895,9.59411452
North Korea,22665345,40000,127.1924797,40.15350311
Northern Cyprus,265100,3600,33.5684813,35.26277486
Norway,4676305,276400,15.34834656,68.75015572
Oman,3418085,66980,56.09166155,20.60515333
Pakistan,176242949,427300,69.33957937,29.9497515
Palau,20796,164,134.4080797,7.28742784
Panama,3360474,38830,-80.11915156,8.51750797
Papua New Guinea,6057263,13210,145.2074475,-6.46416646
Paraguay,6995655,28890,-58.40013703,-23.22823913
Peru,29546963,247300,-74.38242685,-9.15280381
Philippines,97976603,317500,122.8839325,11.77536778
Poland,38482919,667900,19.39012835,52.12759564
Portugal,10707924,208627,-8.50104361,39.59550671
Qatar,833285,91330,51.18479632,25.30601188
Republic of Congo,4012809,15350,15.21965762,-0.83787463
Republic of Serbia,7379339,80340,20.78958334,44.2215032
Romania,22215421,271400,24.97293039,45.85243127
Russia,140041247,2266000,96.68656112,61.98052209
Rwanda,10473282,9706,29.91988515,-1.99033832
Saint Kitts and Nevis,40131,777.7,-62.68755265,17.2645995
Saint Lucia,160267,1778,-60.96969923,13.89479481
Saint Vincent and the Grenadines,104574,1070,-61.20129695,13.22472269
Samoa,219998,1049,-172.1648506,-13.75324346
San Marino,30324,1662,12.45922334,43.94186747
Sao Tome and Principe,212679,276.5,6.72429658,0.44391445
Saudi Arabia,28686633,576500,44.53686271,24.12245841
Senegal,13711597,21980,-14.4734924,14.36624173
Seychelles,87476,1715,55.47603279,-4.66099094
Sierra Leone,6440053,4285,-11.79271247,8.56329593
Singapore,4657542,237300,103.8172559,1.35876087
Slovakia,5463046,119500,19.47905218,48.70547528
Slovenia,2005692,59340,14.80444238,46.11554772
Solomon Islands,595613,1078,159.6328767,-8.92178022
Somalia,9832017,5524,45.70714487,4.75062876
Somaliland,3500000,12250,46.25198395,9.73345496
South Africa,49052489,491000,25.08390093,-29.00034095
South Korea,48508972,1335000,127.8391609,36.38523983
South Sudan,10625176,13227,30.24790002,7.30877945
Spain,40525002,1403000,-3.64755047,40.24448698
Sri Lanka,21324791,91870,80.70108238,7.61266509
Sudan,25946220,88080,29.94046812,15.99035669
Suriname,481267,4254,-55.9123457,4.13055413
Swaziland,1123913,5702,31.4819369,-26.55843045
Sweden,9059651,344300,16.74558049,62.77966519
Switzerland,7604467,316700,8.20867471,46.79785878
Syria,20178485,98830,38.50788204,35.02547389
Taiwan,22974347,712000,120.9542728,23.7539928
Tajikistan,7349145,13160,71.01362631,38.5304539
Thailand,65905410,547400,101.0028813,15.11815794
The Bahamas,309156,9093,-76.62843038,24.29036702
Togo,6019877,5118,0.96232845,8.52531356
Tonga,120898,549,-174.8098734,-20.42843174
Trinidad and Tobago,1310000,29010,-61.26567923,10.45733408
Tunisia,10486339,81710,9.55288359,34.11956246
Turkey,76805524,902700,35.16895346,39.0616029
Turkmenistan,4884887,29780,59.37100021,39.11554137
Uganda,32369558,39380,32.36907971,1.27469299
Ukraine,45700395,339800,31.38326469,48.99656673
United Arab Emirates,4798491,184300,54.3001671,23.90528188
Anguilla,14436,108.9,-63.06498927,18.2239595
Bermuda,67837,4500,-64.7545589,32.31367802
Cayman Islands,49035,1939,-80.91213321,19.42896497
Falkland Islands,3140,105.1,-59.35238956,-51.74483954
United Kingdom,62262000,1977704,-2.86563164,54.12387156
Guernsey,68633,2742,-2.57239064,49.46809761
Isle of Man,76512,2719,-4.53873952,54.22418911
British Indian Ocean Territory,4000,160,72.44541229,-7.33059751
Jersey,91626,5100,-2.12689938,49.21837377
Montserrat,5097,29,-62.18518546,16.73941406
Pitcairn Islands,48,0.72,-128.317042,-24.36500535
South Georgia and South Sandwich Islands,30,0.3,-36.43318388,-54.46488248
Saint Helena,7637,18,-9.54779416,-12.40355951
Turks and Caicos Islands,22942,216,-71.97387881,21.83047572
British Virgin Islands,24491,853.4,-64.47146992,18.52585755
Tanzania,41048532,54250,34.81309981,-6.27565408
American Samoa,65628,575.3,-170.7180258,-14.30445997
Guam,178430,2500,144.7679102,13.44165626
Northern Mariana Islands,88662,900,145.6196965,15.82927563
Puerto Rico,3971020,70230,-66.47307604,18.22813055
United States of America,313973000,15094000,-112.4616737,45.6795472
United States Virgin Islands,109825,1577,-64.80301538,17.95500624
Uruguay,3494382,43160,-56.01807053,-32.79951534
Uzbekistan,27606007,71670,63.14001528,41.75554225
Vanuatu,218519,988.5,167.6864464,-16.22640909
Vatican,832,355,12.43387177,41.90174985
Venezuela,26814843,357400,-66.18184123,7.12422421
Vietnam,86967524,241700,106.299147,16.6460167
Western Sahara,-99,-99,-12.21982755,24.22956739
Yemen,23822783,55280,47.58676189,15.90928005
Zambia,11862740,17500,27.77475946,-13.45824152
Zimbabwe,12619600,9323,29.8514412,-19.00420419
